,t0,x0,x1,c,mwebv,mwr_v,z_fit,survey,z_helio,z_cmb,mb,mb_err,x1_err,c_err,cov
SN2005ag,53415.35460003082,0.0007467347654946336,0.2924592751310347,-0.0512982434234739,0.034360773647186676,3.1,0.07969950700812624,csp,0.0797,0.08040249329161941,18.487656256750157,6.852816096544256e-13,0.053093088239536776,0.023425732442415345,"[[ 6.85281610e-13 -6.44502041e-09  1.52014804e-08]
 [-6.44502041e-09  2.81887602e-03 -3.46066984e-04]
 [ 1.52014804e-08 -3.46066984e-04  5.48764940e-04]]"
SN2005al,53431.39262201184,0.02019579944639902,-1.3899439986465931,-0.09956454592947546,0.04777394682567044,3.1,0.012399915981091934,csp,0.0124,0.013304157542830541,14.931976856165312,6.917800332425086e-10,0.030622322937242225,0.020079289815531285,"[[ 6.91780033e-10 -6.75103762e-08  4.34754957e-07]
 [-6.75103762e-08  9.37726662e-04 -1.21782259e-04]
 [ 4.34754957e-07 -1.21782259e-04  4.03177879e-04]]"
SN2005am,53436.68285415513,0.06319484915299414,-1.8947261673042557,-4.37513726628039e-05,0.046124031495588254,3.1,0.007900064239282203,csp,0.0079,0.008982828811573196,13.69226631809924,8.201139401973987e-09,0.03538592236680072,0.020319981078094237,"[[ 8.20113940e-09 -3.91038420e-07  1.47353875e-06]
 [-3.91038420e-07  1.25216350e-03 -1.93579759e-04]
 [ 1.47353875e-06 -1.93579759e-04  4.12901631e-04]]"
SN2005be,53460.3864626902,0.0034295837481560696,-1.8912386270396342,-0.11494457729560088,0.029242486471586407,3.1,0.03499993399076154,csp,0.035,0.03562107367398215,16.784767139318596,9.400957188747841e-11,0.06342380201496665,0.026243266078972097,"[[9.40095719e-11 1.79524796e-07 1.93697565e-07]
 [1.79524796e-07 4.02257866e-03 3.03042947e-04]
 [1.93697565e-07 3.03042947e-04 6.88709014e-04]]"
SN2005bg,53469.98229295101,0.008382681901260632,0.6139923560157905,-0.04839981035305943,0.027611791203993992,3.1,0.023099771037604695,csp,0.0231,0.02421446115810233,15.802545276002897,1.1192114827648256e-10,0.08716611453395673,0.01938650255666479,"[[ 1.11921148e-10 -3.00557998e-07  1.65819265e-07]
 [-3.00557998e-07  7.59793152e-03 -2.63569525e-04]
 [ 1.65819265e-07 -2.63569525e-04  3.75836481e-04]]"
SN2005bl,53482.985824724165,0.0008709217403798903,-4.287910660074363,0.3421563427960001,0.024886241252491212,3.1,0.024100131794893554,csp,0.0241,0.025195460115457147,18.28428507394727,1.5406618214592444e-12,0.1103639211814789,0.026546892086652337,"[[1.54066182e-12 6.85007631e-08 2.69486349e-08]
 [6.85007631e-08 1.21801951e-02 1.59014984e-03]
 [2.69486349e-08 1.59014984e-03 7.04737479e-04]]"
SN2005bo,53479.29831059628,0.01008333247364964,-1.256777882669458,0.1956512237514752,0.0395320056783408,3.1,0.013900071730234529,csp,0.0139,0.015042899939327059,15.66331142036246,1.5469385402779945e-10,0.09787371765172827,0.018616470491764143,"[[ 1.54693854e-10 -9.40041372e-08  1.88272313e-07]
 [-9.40041372e-08  9.57926461e-03 -1.19157944e-04]
 [ 1.88272313e-07 -1.19157944e-04  3.46572974e-04]]"
SN2005el,53647.28897734595,0.021118899175218316,-1.3506693200914477,-0.17077250889541196,0.09808364969164196,3.1,0.014900117155868486,csp,0.0149,0.014884899985507793,15.087827621903703,7.465661879921597e-10,0.04368017023985147,0.019541406144852586,"[[ 7.46566188e-10  1.56197641e-07  3.86452412e-07]
 [ 1.56197641e-07  1.90795727e-03 -1.26444005e-04]
 [ 3.86452412e-07 -1.26444005e-04  3.81866554e-04]]"
SN2005eq,53655.20142504049,0.005460284983699086,1.5232767972680339,-0.00610631798423829,0.06362687563506927,3.1,0.028999742256879343,csp,0.029,0.0283766894807691,16.42126818801315,3.519645044031717e-11,0.05730090852947781,0.018423776368585547,"[[ 3.51964504e-11 -4.49736554e-08  8.20084548e-08]
 [-4.49736554e-08  3.28339412e-03 -2.72053495e-04]
 [ 8.20084548e-08 -2.72053495e-04  3.39435536e-04]]"
SN2005gj,53715.128160813176,0.0008480240023479855,43.195000382205144,-0.07828172158302375,0.10432937283711677,3.1,0.06159796525137611,csp,0.0616,0.06089709923958786,18.29205124489759,6.487000799424303e-11,6.297440683265181,0.06316097554069915,"[[6.48700080e-11 4.86289202e-05 3.10931094e-07]
 [4.86289202e-05 3.96577592e+01 1.85251250e-01]
 [3.10931094e-07 1.85251250e-01 3.98930883e-03]]"
SN2005hc,53668.16635877999,0.0021436275214644445,0.8135531503578968,-0.03295910944199061,0.02814121741934405,3.1,0.045899992729435464,csp,0.0459,0.044934214443217435,17.29863409444499,5.947885456359084e-12,0.0381647219968337,0.020770699210966675,"[[ 5.94788546e-12 -5.70003401e-09  3.89495807e-08]
 [-5.70003401e-09  1.45654601e-03 -1.45758973e-04]
 [ 3.89495807e-08 -1.45758973e-04  4.31421946e-04]]"
